년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201811,20~30평,799.159,231900,10,957.5941708721293
201811,30~40평,114.81,29300,1,842.1740266527305
201812,20평 미만,1084.482,304050,21,925.2020780427891
201812,20~30평,772.5500000000001,217800,9,930.3475503203674
201812,30~40평,114.81,30000,1,862.2942252417037
201901,20평 미만,1952.1847,594700,36,1005.2890999504298
201901,20~30평,790.04,206800,10,863.8043643359829
201901,30~40평,99.27,14700,1,488.6672710788758
201902,20평 미만,1423.656,393370,27,911.822097472985
201902,20~30평,646.948,185300,8,945.1918855920413
201902,30~40평,338.27,91000,3,887.7523871463623
201903,20평 미만,3040.9387,854850,59,927.6757206582296
201903,20~30평,727.4078000000001,219750,9,996.9304700884427
201903,30~40평,229.06,57850,2,833.4279228149829
201904,20평 미만,1845.627,559170,34,999.8016934082564
201904,20~30평,1284.1909,371250,16,954.0053585491066
201904,30~40평,108.93,33000,1,999.7245937758191
201905,20평 미만,2057.7117,590100,39,946.357062556431
201905,20~30평,1169.971,326250,14,920.215116443057
201906,20평 미만,1659.9557,485980,32,966.1306021600457
201906,20~30평,648.451,182450,8,928.497295863527
201906,30~40평,114.53,28200,1,812.5381995983585
201907,20평 미만,2293.292,687600,44,989.4422515754644
201907,20~30평,1545.943,435650,19,929.9469644094253
201907,30~40평,229.06,53200,2,766.4367414651183
201908,20평 미만,1927.856,594550,36,1017.7186470358782
201908,20~30평,1321.861,383750,16,958.0243308487048
201908,30~40평,343.59000000000003,87800,3,843.2725050205185
201909,20평 미만,1827.8205,552763,33,997.9743087464004
201909,20~30평,982.8770000000001,289900,12,973.3364398597179
201909,30~40평,108.87,33000,1,1000.27555800496
201910,20평 미만,2484.424,746190,46,991.1460362643413
201910,20~30평,1793.4740000000002,548500,22,1009.2423977152721
201910,30~40평,223.4,60900,2,899.5971351835271
201911,20평 미만,2240.7536,649060,42,955.8828779746242
201911,20~30평,1377.494,396800,17,950.5957920687858
201911,30~40평,332.45,98000,3,972.7778613325312
201912,20평 미만,1979.1946,500730,41,834.8896061054329
201912,20~30평,1347.9101,373700,17,914.9052299556179
201912,30~40평,344.15,85300,3,817.9282289699258
202001,20평 미만,1593.8796,432150,30,894.7319483855619
202001,20~30평,835.0698,240300,10,949.6092422453787
202001,30~40평,338.3,90200,3,879.8699379249186
202002,20평 미만,5394.517,1451550,103,887.959941548057
202002,20~30평,3134.7566,920871,38,969.413159541637
202002,30~40평,781.07,189700,7,801.4774604068776
202003,20평 미만,5151.2427,1530700,95,980.6002734058716
202003,20~30평,3087.4921,880336,38,940.9283346830265
202003,30~40평,787.57,197600,7,827.9644983937934
202004,20평 미만,4325.017,1261430,81,962.4745983657406
202004,20~30평,2400.4171,709000,29,974.7056042885213
202004,30~40평,229.06,63500,2,914.8258098314851
202005,20평 미만,4501.5356,1268330,88,929.7913805235706
202005,20~30평,2535.9749,754100,31,981.2912580483346
202005,30~40평,886.56,206000,8,766.7839740119113
202006,20평 미만,4068.3323,1203350,77,976.0891459136708
202006,20~30평,3085.583,897000,37,959.3324827107226
202006,30~40평,114.53,29700,1,855.7583165982711
202007,20평 미만,5031.3797,1537400,96,1008.3556206262865
202007,20~30평,2458.969,741850,30,995.5818881815915
202007,30~40평,108.87,35700,1,1082.116285478093
