년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201709,20~30평,10333.5719,3228890,126,1031.1378391822095
201709,30~40평,2748.2142,748100,23,898.3033418574142
201709,40~50평,2363.3372,673250,17,940.07956207011
201709,50평 이상,334.52,65000,2,641.2172665311491
201710,20평 미만,9188.3019,2548970,172,915.4685045775433
201710,20~30평,8763.3618,2558750,109,963.5428951478414
201710,30~40평,2140.9873,626600,18,965.8067565370426
201710,40~50평,754.0651,183300,5,802.1721201524907
201711,20평 미만,9585.7813,2542883,179,875.4126176444271
201711,20~30평,10137.6071,3010170,124,979.8723606086489
201711,30~40평,1944.4012,527750,16,895.6870629374225
201711,40~50평,1619.5366,404800,11,824.8285342856716
201711,50평 이상,167.26,32500,1,641.2172665311491
201712,20평 미만,9373.556,2581915,172,908.9740862485912
201712,20~30평,7423.6842,2252600,90,1001.3330039012166
201712,30~40평,1280.5626,340200,11,876.6927911216522
201712,40~50평,1453.33,317950,10,721.9523439273943
201801,20평 미만,8430.8798,2386745,165,934.2154895862706
201801,20~30평,8240.2185,2510232,100,1005.2847020986154
201801,30~40평,1673.7824,449300,14,885.8319934538682
201801,40~50평,2217.2681000000002,550800,15,819.7655484242072
201801,50평 이상,167.26,31000,1,611.6226234604807
201802,20평 미만,8030.5495,2355827,151,968.0818354958151
201802,20~30평,7663.9523,2254450,95,970.7373831123662
201802,30~40평,1673.4107,457050,14,901.3119134471891
201802,40~50평,1425.6151,331900,10,768.2788994027911
201802,50평 이상,167.26,31000,1,611.6226234604807
201803,20평 미만,11144.168,3213420,211,951.5547504308979
201803,20~30평,12814.0025,3779090,158,973.231978064621
201803,30~40평,4195.9439,1178800,36,927.0953312793338
201803,40~50평,1833.4513,432350,13,778.1799276588366
201804,20평 미만,6917.4886,2004875,128,956.4291150403918
201804,20~30평,9248.8797,2821290,114,1006.6361875157701
201804,30~40평,3585.6758,962650,30,885.9543297249572
201804,40~50평,1138.844,289000,8,837.428128874543
201805,20평 미만,7981.7771,2372197,153,980.7653110232808
201805,20~30평,9972.9951,3038630,122,1005.4631431634814
201805,30~40평,2157.7765,616850,18,943.3808367085284
201805,40~50평,1333.1664,317850,9,786.7772545122649
201806,20평 미만,8256.316,2864535,155,1144.9374636339014
201806,20~30평,9038.1213,2953900,109,1078.528344159311
201806,30~40평,1678.0697,522100,14,1026.7332757393806
201806,40~50평,874.84,191900,6,723.8695075670979
201806,50평 이상,167.26,31600,1,623.4604806887481
201807,20평 미만,6466.5974,2148300,123,1096.3091656208567
201807,20~30평,9829.9871,3258563,118,1093.9239075908856
201807,30~40평,2833.0052,830100,24,966.9343353129037
201807,40~50평,606.7713,146800,4,798.3897722255485
201808,20평 미만,7757.1519,2448315,150,1041.5471559864645
201808,20~30평,10369.9696,3435292,126,1093.2012375426827
201808,30~40평,3053.9311,838150,25,905.6834975746507
201808,40~50평,733.6313,160600,5,722.4064731153101
201808,50평 이상,167.26,31800,1,627.4064330981705
201809,20평 미만,9010.6636,2923810,166,1070.7949412294117
201809,20~30평,9650.3891,3204460,118,1095.781516208502
201809,30~40평,3307.3922000000002,1046600,27,1044.260792536186
201809,40~50평,1014.5213,243500,7,792.0484271744714
201809,50평 이상,167.26,32500,1,641.2172665311491
201810,20평 미만,8020.8155,2502580,154,1029.6352035525565
201810,20~30평,8793.649,2724005,107,1022.2396299875057
201810,30~40평,3799.9739,1097000,32,952.6644380373243
201810,40~50평,885.83,199400,6,742.828759468521
201810,50평 이상,334.52,66900,2,659.9605404759058
201811,20평 미만,4464.9862,1297086,87,958.6555497080818
201811,20~30평,6214.8956,1892671,76,1004.9749347358305
201811,30~40평,2040.8671,593700,17,959.9890164332601
