년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201709,20~30평,15833.0669,5811950,193,1211.3531207273556
201709,30~40평,6092.8475,2086700,52,1130.1956925723152
201709,40~50평,1844.9850000000001,574450,13,1027.4798982105544
201709,50평 이상,171.67,38700,1,743.927302382478
201710,20평 미만,15761.4152,6024895,303,1261.4446893068334
201710,20~30평,14954.5729,5380555,180,1187.31786047865
201710,30~40평,4564.0906,1724800,39,1247.0918083878526
201710,40~50평,1126.725,346800,8,1015.7225587432603
201710,50평 이상,171.67,35600,1,684.3362264810393
201711,20평 미만,14262.5758,5487062,281,1269.5676330778904
201711,20~30평,11714.741,4180270,142,1177.5668791994633
201711,30~40평,4050.7898,1436550,35,1170.2940004440616
201711,40~50평,1969.0230000000001,606600,14,1016.636169308332
201712,20평 미만,9794.8095,3648852,192,1229.3461756453762
201712,20~30평,10191.5637,3587050,123,1161.476820284212
201712,30~40평,2540.6985,942050,21,1223.5867419924086
201712,40~50평,751.1918000000001,200100,5,879.0431418447325
201712,50평 이상,168.92,69500,1,1357.743310442813
201801,20평 미만,12757.2818,4731200,252,1223.8469169819543
201801,20~30평,11019.2581,4136550,131,1238.7961944552328
201801,30~40평,4706.5391,1846000,40,1294.3268653605787
201801,40~50평,1224.645,360600,9,971.6938378060581
201802,20평 미만,11979.1654,4451469,232,1226.2830681008877
201802,20~30평,10609.7435,3982070,128,1238.5625533736984
201802,30~40평,3399.2547,1227150,30,1191.3184969634667
201802,40~50평,1720.305,492800,12,945.3207425427468
201803,20평 미만,18966.743,7112090,363,1237.4236841823608
201803,20~30평,16671.5848,6145100,202,1216.3708635546154
201803,30~40평,5120.1371,1916200,44,1235.0177107562217
201803,40~50평,1672.17,525400,12,1036.8682610021708
201804,20평 미만,12902.6314,4756180,251,1216.4490725512005
201804,20~30평,12439.3102,4536450,149,1203.465848130389
201804,30~40평,2654.8673,988700,22,1228.9540799270833
201804,40~50평,1916.8600000000001,573150,14,986.7152530701251
201804,50평 이상,337.84,128000,2,1250.2959981056122
201805,20평 미만,13889.8258,5157922,272,1225.4396019855049
201805,20~30평,11043.9269,3930550,133,1174.4749052984043
201805,30~40평,3084.4432,1102800,26,1179.869352108672
201805,40~50평,1868.8474,562700,13,993.6124265683757
201806,20평 미만,11980.6416,4395120,229,1210.6109575967948
201806,20~30평,11622.1661,4168120,141,1183.4967665795104
201806,30~40평,2654.0204,892100,23,1109.2341264596157
201806,40~50평,974.925,311200,7,1053.373336410493
201807,20평 미만,12596.0948,4677810,246,1225.5205478447174
201807,20~30평,12056.6456,4393150,145,1202.4401712529395
201807,30~40평,3631.5011,1330950,31,1209.4544044059355
201807,40~50평,1271.4136,355811,9,923.5203241494347
201808,20평 미만,15855.0588,6136250,301,1277.1712331965616
201808,20~30평,15229.2811,5719400,185,1239.3244222145195
201808,30~40평,3886.0523000000003,1412590,33,1199.5584825247977
201808,40~50평,1536.767,502050,11,1078.084706399864
201809,20평 미만,20683.6509,8203383,388,1308.8194164019658
201809,20~30평,23697.5215,9502050,284,1323.208631755013
201809,30~40평,6828.8266,2703600,60,1306.5026427819969
201809,40~50평,3059.596,972650,22,1049.07477980753
201809,50평 이상,168.92,64800,1,1265.9246980819323
201810,20평 미만,21196.3645,8187920,404,1274.7533191364018
201810,20~30평,27932.362,10325230,339,1219.8488262467743
201810,30~40평,7055.1755,2733550,61,1278.5954084345597
201810,40~50평,1731.0416,634250,12,1209.1130565550823
201811,20평 미만,13232.3834,5314670,266,1325.4158733036709
201811,20~30평,15093.2855,5748700,185,1256.8973137094636
201811,30~40평,3416.9607,1231150,30,1189.0084073837897
201811,40~50평,1962.7330000000002,579450,14,974.2461149835458
201812,20평 미만,11275.5643,4332521,218,1267.9914654027557
201812,20~30평,11084.7233,4074630,133,1213.0459765287962
201812,30~40평,3611.9665,1229950,31,1123.7188938490983
201812,40~50평,732.695,222500,5,1002.1223019128013
201901,20평 미만,12227.5526,4662865,235,1258.4247235215328
201901,20~30평,9046.6217,3392140,109,1237.3748313141027
201901,30~40평,3888.6364,1336250,34,1133.9771957079865
201901,40~50평,1107.7342,390450,8,1163.1716344949898
201901,50평 이상,171.67,41750,1,802.5572318984098
201902,20평 미만,11502.7346,4264585,225,1223.4595502186062
201902,20~30평,9567.0709,3463460,116,1194.6622032455095
201902,30~40평,3185.5086,1121050,27,1161.3420224324618
201902,40~50평,1106.1256,353000,8,1053.1353763080792
201902,50평 이상,168.92,69000,1,1347.975372957613
201903,20평 미만,16048.5948,6129380,305,1260.3567011362265
201903,20~30평,12463.6686,4567450,151,1209.321708056326
201903,30~40평,4034.1375,1576050,35,1289.238405978973
201903,40~50평,1676.7,539600,12,1062.0146716765073
201903,50평 이상,340.59,101500,2,983.4405003082885
201904,20평 미만,14717.3503,5466385,284,1225.7009673813363
201904,20~30평,14243.4343,5394235,172,1249.767094442946
201904,30~40평,6036.0482,2190400,52,1197.5252285096064
201904,40~50평,2105.893,640900,15,1004.3102854703443
201904,50평 이상,168.92,70000,1,1367.5112479280133
201905,20평 미만,13983.542,5361870,268,1265.3568745315029
201905,20~30평,11704.8965,4303800,141,1213.3845010931964
201905,30~40평,3264.8245,1167800,28,1180.38197765301
201905,40~50평,1746.5436,567400,13,1072.0717192516693
201905,50평 이상,340.59,103500,2,1002.8186382453978
201906,20평 미만,16234.3821,6311820,309,1283.0180952806327
201906,20~30평,14191.435,5271846,171,1225.8867267475064
201906,30~40평,4900.374,1690450,42,1138.3794379775911
201906,40~50평,1544.0076,477850,11,1021.3065013410555
201907,20평 미만,15603.6864,5876070,299,1242.7211431267933
201907,20~30평,18297.6768,6780350,221,1222.8413062799316
201907,30~40평,6184.0933,2397800,54,1279.5311480827754
201907,40~50평,2394.565,737700,17,1016.6397654688845
201907,50평 이상,171.67,38400,1,738.1604240694355
201908,20평 미만,13687.2643,5233950,260,1261.9055657455228
201908,20~30평,15153.6536,5906840,184,1286.328202724655
201908,30~40평,4228.966100000001,1638850,37,1278.8480380582853
201908,40~50평,2533.518,789500,18,1028.3526700816808
201908,50평 이상,171.67,43000,1,826.5858915360867
201909,20평 미만,14744.5519,5680561,278,1271.3747713146845
201909,20~30평,16101.633,6261662,193,1283.3160835301612
201909,30~40평,5366.1357,2009800,47,1235.9620350264345
201909,40~50평,2605.9586,815300,19,1032.4377371152405
201909,50평 이상,171.67,40000,1,768.917108405662
201910,20평 미만,21365.6975,8681142,404,1340.830019707992
201910,20~30평,23359.339,9290125,281,1312.4263704550885
201910,30~40평,9901.2712,4009900,87,1336.4617262478378
201910,40~50평,2994.3664,939550,21,1035.4494359808473
201910,50평 이상,340.59,115000,2,1114.2429313837752
201911,20평 미만,23569.2697,9703870,444,1358.6662381821698
201911,20~30평,23168.7571,9197700,279,1310.0577587737755
201911,30~40평,5947.6388,2474050,51,1372.7069303536052
