년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201708,30~40평,11504.1904,4504200,102,1292.0387687602945
201708,40~50평,2128.7394,625360,15,969.4413510643905
201708,50평 이상,170.348,43500,1,842.6867353887335
201709,20평 미만,14204.0637,4788030,254,1112.3928569821887
201709,20~30평,23010.4343,7689870,274,1102.8288588190617
201709,30~40평,13799.8542,5425700,122,1297.463707986132
201709,40~50평,3364.3673,1178750,24,1156.1980762326396
201709,50평 이상,540.876,119500,3,729.0950236283363
201710,20평 미만,9855.7238,3200650,178,1071.6762375179385
201710,20~30평,17424.3686,5904400,209,1118.2339198219208
201710,30~40평,8613.4354,3417329,77,1309.2552711314233
201710,40~50평,1967.8898,655700,14,1099.5585220269954
201710,50평 이상,346.02,59600,2,568.4064504941912
201711,20평 미만,9695.6421,3123597,177,1063.1446575363998
201711,20~30평,17287.19,5740540,207,1095.8277198318524
201711,30~40평,8990.3278,3611959,79,1325.8097997272137
201711,40~50평,1937.3308,577450,14,983.6136399627777
201711,50평 이상,520.426,122900,3,779.3038779768881
201712,20평 미만,7573.623,2444210,134,1064.9979540835343
201712,20~30평,13679.3801,4387265,163,1058.3794290502974
201712,30~40평,8355.824,3052990,73,1205.7299196344966
201712,40~50평,2116.6482,639400,15,996.8685396089912
201712,50평 이상,520.426,123800,3,785.0107412004779
201801,20평 미만,8737.1567,2886110,156,1090.0757909034642
201801,20~30평,16517.7025,5470455,199,1092.9184309984998
201801,30~40평,9681.7148,3931981,85,1340.2106515263183
201801,40~50평,1836.5824,681050,13,1223.7212988646738
201801,50평 이상,170.348,42000,1,813.6285720994669
201802,20평 미만,8244.1589,2672860,149,1069.9015032327918
201802,20~30평,14155.0987,4655087,171,1085.2476146987233
201802,30~40평,5856.8733,2271254,53,1279.7166365200353
201802,40~50평,2421.7225,741450,17,1010.3490387523756
201802,50평 이상,200.18,43900,1,723.6986711959236
201803,20평 미만,13200.4272,4410813,237,1102.6675636679395
201803,20~30평,21066.531,6848154,253,1072.739892486333
201803,30~40평,11359.5432,4570000,102,1327.6062016296569
201803,40~50평,3750.2505,1115000,26,981.1344602180574
201803,50평 이상,690.774,159000,4,759.5827289388425
201804,20평 미만,8707.4451,2810336,160,1065.0780675034057
201804,20~30평,15082.2548,4845855,181,1060.2739253549805
201804,30~40평,4536.8695,1637950,40,1191.401912706548
201804,40~50평,1098.8066,460000,8,1381.4988006078595
201804,50평 이상,370.528,76900,2,684.887511874946
201805,20평 미만,9334.3814,2930597,165,1036.059025828964
201805,20~30평,13734.1254,4479160,165,1076.2409377738752
201805,30~40평,6976.4325,2448300,61,1158.0976380119782
201805,40~50평,1979.5202,778100,14,1297.147662347674
201805,50평 이상,570.7080000000001,112400,3,649.9295611766436
201806,20평 미만,8263.4086,2643370,148,1055.632296822403
201806,20~30평,14562.9802,4716290,174,1068.7206043169651
201806,30~40평,6354.0679,2410750,56,1252.0286413684687
201806,40~50평,2140.3934,715200,15,1102.675797822961
201806,50평 이상,170.348,39500,1,765.1982999506891
201807,20평 미만,8068.1359,2625348,144,1073.8104200748526
201807,20~30평,15855.9004,5240950,192,1090.7696544309774
201807,30~40평,7403.8476,2726968,65,1215.4483568786584
201807,40~50평,2653.3667,719350,18,894.6577191912448
201807,50평 이상,1051.92,244300,6,766.3985854437599
201808,20평 미만,9701.6593,3406680,172,1158.775385979592
201808,20~30평,20423.334,6916560,245,1117.5769832682558
201808,30~40평,10486.565200000001,4238730,93,1333.8789902340948
201808,40~50평,4630.4847,1356248,32,966.5550563205619
201808,50평 이상,340.696,88700,2,859.153027919318
201809,20평 미만,11970.0416,4355120,211,1200.6554764187283
201809,20~30평,27938.6671,10184570,333,1202.9593566401743
201809,30~40평,17600.477,7129080,155,1336.6662733061155
201809,40~50평,3076.5668,1090400,22,1169.5894267597243
201809,50평 이상,170.348,46900,1,908.5519055110714
201810,20평 미만,11137.4389,3966690,197,1175.322003337769
201810,20~30평,25128.0576,8745385,301,1148.5078138311812
201810,30~40평,16438.6178,6741912,147,1353.4172927847983
201810,40~50평,2796.3277,914250,20,1078.923975898819
201811,20평 미만,6755.6698,2304210,123,1125.5572319416797
201811,20~30평,13878.0972,4634460,166,1102.003954836114
201811,30~40평,9154.8178,3718400,80,1340.3565497502307
201811,40~50평,2572.6095,809000,18,1037.740084532845
201811,50평 이상,720.606,159000,4,728.1371512310471
201812,20평 미만,6587.2335,2223875,118,1114.0925093971543
201812,20~30평,12837.4853,4215240,154,1083.5682904345758
201812,30~40평,6144.5385,2349350,54,1261.7473224392688
201812,40~50평,1638.7159,495550,11,997.9246555183848
201812,50평 이상,529.808,112600,3,701.3484130099961
201901,20평 미만,6400.3975,1876340,115,967.42772616857
201901,20~30평,12884.8835,4063795,156,1040.795091395277
201901,30~40평,5744.9987,2056750,50,1181.4232438381578
201901,40~50평,1682.9251,468500,12,918.6683352693474
201901,50평 이상,761.089,172800,4,749.2422042625763
201902,20평 미만,7277.4942,2228815,133,1010.6623650761549
201902,20~30평,14065.2627,4696866,168,1101.9813942046032
201902,30~40평,3947.1991,1432550,35,1197.6631733626002
201902,40~50평,1542.5145,450750,11,964.3183256948314
201902,50평 이상,370.528,84100,2,749.0122203989981
201903,20평 미만,9580.886199999999,3012032,169,1037.4515877247347
201903,20~30평,18300.8216,6039810,221,1089.0971692768153
201903,30~40평,6764.2286,2474200,60,1207.064468518997
201903,40~50평,2311.8408,621050,16,886.5078425815481
201903,50평 이상,700.156,149900,4,706.5139768851514
201904,20평 미만,8607.9569,2585180,153,991.0707150497002
201904,20~30평,16819.5884,5472300,202,1073.6642045295234
201904,30~40평,5553.8558,2139750,48,1271.4004926091166
201904,40~50평,865.1446,272900,6,1040.9473745776138
201905,20평 미만,9096.6906,2882200,163,1045.573650707654
201905,20~30평,15170.4317,4910100,183,1068.0862826072378
201905,30~40평,7597.5749,2944300,66,1278.8541248866136
201905,40~50평,3581.9857,1111830,25,1024.303084180375
201905,50평 이상,359.46,66500,2,610.4990819562678
201906,20평 미만,7428.0296,2395700,132,1064.321283803177
201906,20~30평,16176.8967,5401661,193,1101.9098180926135
201906,30~40평,8075.4375,3063150,71,1251.745803245954
201906,40~50평,2283.4047,673700,16,973.6381816153745
201906,50평 이상,780.27,133850,4,566.0925064400784
201907,20평 미만,9044.194,2846600,163,1038.6530850620852
201907,20~30평,20763.3137,7049138,249,1120.3488872780456
201907,30~40평,11638.4346,4808550,103,1363.4320718698714
201907,40~50평,3408.4934,1084950,24,1050.4157056604538
201907,50평 이상,941.2360000000001,193300,5,677.715259509836
201908,20평 미만,7925.2699999999995,2608900,142,1086.3188257308584
201908,20~30평,21659.4773,7782420,260,1185.7158713613094
201908,30~40평,9557.3768,3894900,84,1344.8428652514779
201908,40~50평,2695.0296,946450,19,1158.9056387358419
201908,50평 이상,720.606,162300,4,743.2494317282952
201909,20평 미만,8889.5226,2759111,161,1024.2469376251993
201909,20~30평,19841.6522,6700143,239,1114.3463093259945
201909,30~40평,10449.7136,4301700,92,1358.468810092556
201909,40~50평,3316.651,1389500,24,1382.524118455635
201909,50평 이상,690.774,175000,4,836.0187268194808
201910,20평 미만,13485.2074,4490597,241,1098.9056126789715
201910,20~30평,29115.4116,10577400,351,1198.8640407886248
201910,30~40평,13901.1528,5688300,123,1350.3477208019754
201910,40~50평,3575.2254,1120400,25,1034.1501825311489
201910,50평 이상,1397.94,327800,8,773.8100347654405
201911,20평 미만,12271.4555,4171780,222,1121.8615428300252
201911,20~30평,30420.9245,12276020,365,1331.6776746873684
201911,30~40평,19115.109,8448450,169,1458.526080076237
201911,40~50평,4737.7442,1938400,34,1350.161538902839
201911,50평 이상,1051.92,306700,6,962.1549167237051
201912,20평 미만,13724.9397,5190048,243,1247.8858759576187
201912,20~30평,30971.6131,12270212,370,1307.3810353132687
201912,30~40평,24391.6698,10322450,213,1396.5458404163867
201912,40~50평,2361.3779,901250,17,1259.4870986130597
201912,50평 이상,1100.516,232450,6,697.0230328318715
202001,20평 미만,15782.6555,6598020,275,1379.5819087605375
202001,20~30평,41626.0081,17293950,503,1371.018687713175
202001,30~40평,28634.5186,12915050,248,1488.401659387422
202001,40~50평,4777.8919,1823400,34,1259.3880577331606
202001,50평 이상,400.36,63000,2,519.2826456189429
202002,20평 미만,24537.9293,9795162,436,1317.3089792870176
202002,20~30평,62736.5956,25376334,756,1334.8174442541792
202002,30~40평,29066.7907,13433190,254,1525.0918980883569
202002,40~50평,11112.1877,4224350,79,1254.5103967241303
202002,50평 이상,799.222,341000,4,1407.9942744318848
202003,20평 미만,17604.692,5786330,318,1084.647717778874
202003,20~30평,36304.5822,13066170,438,1187.68371337985
202003,30~40평,12598.5347,5035400,110,1318.948623445868
202003,40~50평,5816.5813,1961850,41,1113.0429828256677
202003,50평 이상,900.336,227900,5,835.3214799808071
202004,20평 미만,14925.2844,4901864,264,1083.808573858733
202004,20~30평,25683.5503,8800393,308,1130.735297915569
202004,30~40평,9653.438400000001,3969500,83,1356.9620954954246
202004,40~50평,3898.6958,1172350,27,992.320303625638
202004,50평 이상,829.317,392500,4,1561.827383256342
202005,20평 미만,20544.199,7046674,370,1131.9022075282662
202005,20~30평,36112.9217,13851093,433,1265.7133443733521
202005,30~40평,14636.6689,6796300,128,1532.3015197809111
202005,40~50평,6549.5609,2090050,46,1053.0728861533296
202005,50평 이상,570.7080000000001,141000,3,815.303097205576
202006,20평 미만,23012.5759,8040595,413,1153.0201406092917
202006,20~30평,51061.4354,21106389,615,1364.0643502160535
202006,30~40평,22685.0946,10921050,196,1588.6848009882224
202006,40~50평,9331.51,3056450,66,1080.884551374858
202006,50평 이상,529.808,122400,3,762.3893938936369
202007,20평 미만,11428.122,3998410,202,1154.5862916059173
202007,20~30평,26224.509,9611770,317,1209.511339182747
202007,30~40평,7425.7724,3301340,65,1467.1096033053745
202007,40~50평,2858.1706,906800,20,1046.977391762409
202008,20평 미만,9705.6434,3206970,175,1090.3966449045508
202008,20~30평,18149.1505,6600490,219,1200.1452629972955
202008,30~40평,5040.8308,2148400,44,1406.4586337633073
202008,40~50평,2206.1007,820000,16,1226.5985863655271
202008,50평 이상,692.3689,283900,4,1353.137034317977
202009,20평 미만,8997.3409,2935755,162,1076.7616352071311
202009,20~30평,18991.0515,7345540,228,1276.4054691758377
202009,30~40평,4731.1801,1972530,41,1375.8404589163706
202009,40~50평,2541.3273,720500,18,935.5937741667512
202009,50평 이상,359.46,74500,2,683.9425805374728
202010,20평 미만,11903.3248,4104900,211,1138.0156576085362
202010,20~30평,28027.2689,10273800,336,1209.6626368044015
202010,30~40평,6680.1709,2929000,58,1446.9240599817588
202010,40~50평,2404.7127,789700,17,1083.7095009312338
202010,50평 이상,580.09,122500,3,696.8746229033426
202011,20평 미만,15954.1111,6039006,276,1249.1275555928653
202011,20~30평,41151.1204,16690168,491,1338.421745620321
202011,30~40평,12947.1706,5726822,114,1459.6635190703364
202011,40~50평,5238.115,1540650,37,970.6058381688832
202011,50평 이상,2189.964,523100,12,788.2458341780961
202012,20평 미만,15956.2529,6104933,288,1262.5946095401885
202012,20~30평,34588.9821,15863950,414,1513.517652778802
202012,30~40평,11495.7781,5359750,101,1538.5800635800372
202012,40~50평,4136.262,1512000,29,1206.3065637524896
202012,50평 이상,1289.628,298000,7,762.5454782309317
202101,20평 미만,16492.9425,6122880,297,1225.100008685533
202101,20~30평,27379.7702,13359160,330,1610.1387147507908
202101,30~40평,12315.4168,6551100,107,1755.4119646198249
202101,40~50평,3569.5587,1471600,25,1360.4706934781602
202101,50평 이상,1650.7740000000001,440500,9,880.5869246789687
202102,20평 미만,15416.9637,6206085,277,1328.4120595030006
202102,20~30평,26497.9219,13850100,319,1724.8646958990394
202102,30~40평,9669.8265,5251000,85,1791.996991879844
202102,40~50평,3878.9917,1879500,27,1598.9593378093589
202102,50평 이상,350.078,110000,2,1036.9117739475203
202103,20평 미만,21298.928,8623050,385,1336.03273366622
202103,20~30평,31040.4362,15574950,375,1655.8187091455886
202103,30~40평,12068.9144,6750400,106,1845.7600461562643
202103,40~50평,3716.4601,1792100,26,1591.2803691878732
202103,50평 이상,350.078,114200,2,1076.502950770971
202104,20평 미만,17616.2837,6752579,319,1264.9382287139256
202104,20~30평,26150.1463,13025780,316,1643.7794843235733
202104,30~40평,8579.968,5029400,77,1934.3918298995984
202104,40~50평,2924.0295,1337250,21,1509.1930502069147
202104,50평 이상,903.2275,306000,5,1117.9907609101804
202105,20평 미만,18972.3813,7161593,345,1245.6663465856022
202105,20~30평,28289.7629,15128690,342,1764.7612380660848
202105,30~40평,10840.9268,5941950,94,1808.7415736447922
202105,40~50평,3135.4224,1208400,22,1271.8286378256403
202105,50평 이상,1199.49,462800,7,1273.2411274791787
202106,20평 미만,14644.9503,5725205,269,1290.08129853469
202106,20~30평,24902.0765,13704319,302,1816.0835984902703
202106,30~40평,7850.7389,4482350,69,1884.1226524550445
202106,40~50평,2417.8172,1180100,17,1610.680079536203
202106,50평 이상,346.02,71900,2,685.7118085659788
202107,20평 미만,14292.2876,6666130,259,1539.167809637416
202107,20~30평,32961.7922,21003100,394,2102.7445831662026
202107,30~40평,11360.3706,7519800,100,2184.377682185826
202107,40~50평,4687.9841,2682350,33,1888.1793989019714
202107,50평 이상,580.09,167000,3,950.0249961212915
202108,20평 미만,12883.138,5478768,236,1403.3797045409276
202108,20~30평,25564.8619,13780850,306,1778.8793531483932
202108,30~40평,6063.7653,3516400,53,1913.6822462439302
202108,40~50평,2740.0842000000002,1491250,19,1795.9758316915952
202109,20평 미만,9229.108,4034094,167,1442.4481975939602
202109,20~30평,15205.502700000001,8233060,184,1786.793803272285
202109,30~40평,4603.7393,2624350,40,1881.1566936468357
202109,40~50평,1392.5949,798970,10,1893.3007725362197
202109,50평 이상,170.348,85000,1,1646.6292530584449
202110,20평 미만,10000.9606,4419805,183,1458.3955565228403
202110,20~30평,14331.4412,7670400,173,1766.2089699673747
202110,30~40평,3021.5135,1711750,26,1869.5183721667963
202110,40~50평,1141.188,396700,8,1147.1466576935613
202110,50평 이상,200.18,53000,1,873.7136577080628
202111,20평 미만,6333.0058,2785730,120,1451.5870173370122
202111,20~30평,9016.9165,4814930,109,1762.1621537695287
202111,30~40평,1834.8703,868189,16,1561.4311812665994
202111,40~50평,1000.4695,493200,7,1626.7962191750971
202112,20평 미만,4781.7949,1853980,92,1279.4639100894938
202112,20~30평,6855.3599,3644561,83,1754.4011511343115
202112,30~40평,1987.6017,1245953,18,2068.646298702602
202112,40~50평,277.345,81500,2,969.7308406497322
202112,50평 이상,370.528,139000,2,1237.9631228948958
202201,20평 미만,4682.0226999999995,1980400,86,1395.832617385644
202201,20~30평,5025.1485,2651740,61,1741.3897320646345
202201,30~40평,1869.8968,1076906,16,1900.5272376529015
202201,40~50평,409.03380000000004,198000,3,1597.4230002508348
202202,20평 미만,3462.1272,1691200,64,1612.0031638352282
202202,20~30평,5294.3532,2567430,64,1600.2934976079798
202202,30~40평,1270.8929,672600,11,1746.4728931918653
202202,40~50평,418.2923,208000,3,1640.9577704394749
202202,50평 이상,350.078,142000,2,1338.558835459526
202203,20평 미만,5830.764,2651210,110,1500.4882722058378
202203,20~30평,9003.659,5059450,109,1854.3777590866114
202203,30~40평,1449.7576,850600,13,1936.171950400536
202203,40~50평,987.867,578900,7,1933.833198193684
202203,50평 이상,179.73,47400,1,870.3054581872808
202204,20평 미만,7671.4525,3623843,144,1558.854975638577
202204,20~30평,11271.2191,6297635,137,1843.8285437996676
202204,30~40평,2658.8156,1572430,23,1951.62801060743
202204,40~50평,750.4782,324100,5,1425.1313362600006
202205,20평 미만,7326.5706,3131223,132,1410.3509628365555
202205,20~30평,9559.3019,5205835,116,1797.124484581871
202205,30~40평,2564.4435,1358900,22,1748.6717878557279
202205,40~50평,738.8559,311800,5,1392.6125513784216
202205,50평 이상,170.348,85000,1,1646.6292530584449
202206,20평 미만,4864.2674,2070195,89,1404.454759209989
202206,20~30평,7810.9369,4220521,95,1783.1048283081125
202206,30~40평,1491.801,789300,13,1746.0036559836064
202206,40~50평,588.1354,197000,4,1105.3577118466258
202206,50평 이상,170.348,85000,1,1646.6292530584449
202207,20평 미만,3883.9822,1915970,70,1627.8913430653724
202207,20~30평,5801.0416,2959591,70,1683.6028722841772
202207,30~40평,1506.6614,756400,13,1656.72260535778
202207,40~50평,555.1671,264500,4,1572.2293341950558
202207,50평 이상,179.73,43000,1,789.5176097479552
202208,20평 미만,5027.079,2086050,93,1369.3767295083287
202208,20~30평,8053.9683,4422184,97,1811.9275686744381
202208,30~40평,892.6912,521800,8,1928.931303456335
202208,40~50평,729.042,209400,5,947.8466261203058
202209,20평 미만,2405.8222,1109900,45,1522.4192377973732
202209,20~30평,6328.8915,3257354,76,1698.4440640197417
202209,30~40평,1744.6398,976500,15,1847.0574843013442
202209,40~50평,132.68,76500,1,1902.698221284293
202210,20평 미만,4134.8811,1799630,76,1436.2635481828004
202210,20~30평,8766.8947,4515012,107,1699.523047767415
202210,30~40평,1405.788,756500,12,1775.836754901877
202210,40~50평,726.746,236000,5,1071.6261252211914
202210,50평 이상,170.348,65000,1,1259.1870758682226
202211,20평 미만,3919.7214,1764000,70,1485.1055485729164
202211,20~30평,10159.7959,5193782,122,1686.9906412194757
202211,30~40평,2552.437,1209856,22,1564.2011144643336
202211,40~50평,1162.8106,467500,8,1326.7422914789388
202212,20평 미만,3919.4656,1649730,71,1388.9926728786697
202212,20~30평,9196.1502,4517372,110,1621.0400304249054
202212,30~40평,2293.1257,1145090,20,1647.8804454548651
202212,40~50평,1425.8906,499650,10,1156.361504872814
202301,20평 미만,4816.639,2318920,83,1588.7501637552657
202301,20~30평,16441.3472,8398833,198,1685.758993034342
202301,30~40평,3481.688,1784360,31,1691.2451661378043
202301,40~50평,842.3782,345900,6,1355.0564342714472
202301,50평 이상,529.808,137000,3,853.3279980672243
202302,20평 미만,8797.371,4137760,153,1552.1236969544652
202302,20~30평,26407.1246,13600724,318,1699.631818301035
202302,30~40평,6615.6158,3416541,59,1704.2382207261794
