년월,Date,Scaled_Volatility_Diff,Scaled_Volume_Diff,Scaled_Momentum_2m,평당 거래가,검색량_평균,normalized_DT,fear_greed_index
201605,2016-05-01,45.16831927594066,69.60905349794237,34.19547261597795,2132.382248035919,20.487054285714287,66.46153846153847,46.00402977056942
201606,2016-06-01,21.915243650284,79.97942386831275,45.32978196211427,2200.705919576889,23.845336964285718,66.61538461538463,48.832903825053606
201607,2016-07-01,25.995081505866537,89.44444444444443,45.43591613004846,2219.196390934041,21.374371312500003,68.30769230769232,50.61559016310391
201608,2016-08-01,28.26125176338186,89.03292181069958,30.690799928265243,2242.124978367112,23.104018875,69.61538461538463,46.27300065674917
201609,2016-09-01,31.546370595225437,78.86008230452674,15.254520077201358,2194.2579518133302,24.396310803571428,67.23076923076924,39.60702756771752
201610,2016-10-01,35.49343920597821,72.78151889263,21.31117488396339,2243.292540421449,26.48479537815126,68.23076923076921,42.023692586128206
201611,2016-11-01,36.47151776867486,59.40329218106996,33.43770980399548,2263.6748652689616,23.201996651583716,56.76923076923077,41.36015686516177
201612,2016-12-01,38.62288384759321,30.76131687242798,16.881506119019775,2199.9400063432536,21.996848397435897,48.3076923076923,29.958002568198026
201701,2017-01-01,35.30660751955024,0.0,17.178894607788962,2210.13776349602,23.59480657894737,52.15384615384615,27.00362157797356
201702,2017-02-01,36.291642889443715,0.30864197530863496,21.43063534905823,2207.4608271504617,25.81475013368984,56.230769230769226,30.005662808010207
201703,2017-03-01,43.76272971358786,15.51440329218106,31.227687734127844,2288.0098919988613,23.67493076923077,57.53846153846154,36.275187332665865
201704,2017-04-01,43.43457775331437,35.47325102880657,38.05250525939707,2308.62606353516,21.80673236111111,60.92307692307693,41.68363452348999
201705,2017-05-01,43.347637988634446,59.362139917695465,24.728891667203577,2306.289711594109,24.79266171052632,66.3076923076923,41.789656655314516
201706,2017-06-01,36.95988179538342,75.24691358024691,27.337763205642446,2335.824466525522,31.5220919138756,65.69230769230771,44.745457254086915
201707,2017-07-01,41.361189213087634,90.4320987654321,45.67610060279,2408.201004106449,29.10006084090909,72.38461538461539,54.92195918058168
201708,2017-08-01,42.29931619848297,65.65843621399175,31.308636173679595,2396.725335843882,35.15907583333333,58.76923076923077,44.41891077965489
201709,2017-09-01,43.63867956117365,51.11111111111111,24.81719348897419,2448.5901162270807,28.666826825396825,59.46153846153845,39.6951501943707
201710,2017-10-01,42.79551219428496,31.337448559670776,35.01203374420056,2518.937193775904,27.565062777777776,61.30769230769231,40.9825143983044
201711,2017-11-01,45.38741868131593,39.979423868312765,25.04442799006802,2481.723959754451,29.103279375,61.6923076923077,39.22497394455432
201712,2017-12-01,49.261757801290926,44.11522633744855,28.841287648063428,2573.832939671837,28.33687660326087,57.53846153846154,40.40172056926915
