년월,Date,Scaled_Volatility_Diff,Scaled_Volume_Diff,Scaled_Momentum_2m,평당 거래가,검색량_평균,normalized_DT,fear_greed_index
201605,2016-05-01,47.89993989793248,72.66284171447857,33.71092350764051,1578.1411282910403,20.487054285714287,66.46153846153847,46.55761368746732
201606,2016-06-01,40.050507867312994,77.50349549202065,37.087254521353444,1627.8364520457103,23.845336964285718,66.61538461538463,47.90543620087942
201607,2016-07-01,46.9579971459299,80.59399257509281,25.957062018541976,1594.6712754934235,21.374371312500003,68.30769230769232,45.31204919541561
201608,2016-08-01,47.7932803774362,78.24277196535043,14.268481114071829,1597.130970203092,23.104018875,69.61538461538463,41.617923917869625
201609,2016-09-01,50.08345681397369,70.28687141410732,37.58064376072085,1668.8762673983847,24.396310803571428,67.23076923076924,48.66665527299045
201610,2016-10-01,44.57478841756602,67.4347252477526,47.63240933097684,1706.5058824646396,26.48479537815126,68.23076923076921,51.70294408842172
201611,2016-11-01,51.20071324837107,55.231184610192386,20.502422484395495,1663.3925070862354,23.201996651583716,56.76923076923077,38.1524422919041
201612,2016-12-01,45.64105918853942,32.585217684778954,15.030948033290164,1642.2448816718916,21.996848397435897,48.3076923076923,30.41556675735481
201701,2017-01-01,39.80346899744055,4.488693891326367,19.711570915169414,1644.0889622267837,23.59480657894737,52.15384615384615,29.0132527067088
201702,2017-02-01,43.31390660815938,5.653054336820799,26.10887923674761,1690.0572587677448,25.81475013368984,56.230769230769226,33.18888267872997
201703,2017-03-01,41.68015952493117,19.37225784677693,27.935822253643067,1691.1040632988222,23.67493076923077,57.53846153846154,35.344944960238585
201704,2017-04-01,42.7053270670882,37.56328045899427,20.491479199202168,1685.0931589268368,21.80673236111111,60.92307692307693,35.70737274541696
201705,2017-05-01,47.38989119432981,57.897401282483976,37.463760491958226,1768.3169780815188,24.79266171052632,66.3076923076923,46.569050065289126
201706,2017-06-01,49.529704713616965,76.10529868376645,37.28970350910512,1747.1483765956211,31.5220919138756,65.69230769230771,49.90716236301798
201707,2017-07-01,48.82399762749518,87.00641241984475,27.577057808625565,1793.8908931568203,29.10006084090909,72.38461538461539,49.09193446122665
201708,2017-08-01,47.450293027996985,68.7141410732366,18.393319769953248,1728.2559265148402,35.15907583333333,58.76923076923077,40.92438524944552
201709,2017-09-01,50.298504572637434,49.88187647654404,18.102290671989714,1765.697958157982,28.666826825396825,59.46153846153845,38.02375800553823
201710,2017-10-01,49.44797727717624,34.222072224097204,30.488440149257496,1802.9606643586317,27.565062777777776,61.30769230769231,40.591392733489045
201711,2017-11-01,37.95950454282721,34.525818427269655,26.473680713355524,1811.7068961231632,29.103279375,61.6923076923077,38.11502245026347
201712,2017-12-01,44.37706182794855,29.632129598380025,32.98586101249305,1906.995166856908,28.33687660326087,57.53846153846154,39.43134715776816
201801,2018-01-01,46.42632509611357,38.27202159973001,35.944825924262894,1912.560710231545,35.48212919642857,66.76923076923077,45.182609482244445
201802,2018-02-01,47.106839780554736,45.882551468106655,22.61650844649728,1914.8857675399088,36.00333674242424,66.38461538461539,41.5361062198742
201803,2018-03-01,39.25063269984757,59.399257509281135,13.23102544828746,1865.3768730903407,36.22168649456522,58.6923076923077,37.068425080303406
201804,2018-04-01,38.85416565828281,49.46000674991563,14.05286574859078,1865.169984809449,32.36280760869565,52.53846153846153,33.94681108895131
201805,2018-05-01,40.96252614215035,44.21194735065812,22.074312616101377,1872.2782287615116,30.144439642857144,53.692307692307686,36.31756147174203
201806,2018-06-01,41.5010698165052,37.85015187310159,29.321039504498223,1932.779752205073,29.60659875,51.0,37.37225635027522
201807,2018-07-01,43.77757296566613,48.61626729665879,43.634274288060546,2036.0681972755303,29.701154433333333,55.30769230769232,45.103322275534886
201808,2018-08-01,55.377573068442096,72.98346270671617,27.901228658857253,1961.0575164519491,36.39499023076923,67.3076923076923,48.096731114033275
201809,2018-09-01,55.105984258662154,74.13094836314545,0.0,1925.0169793420769,47.30641759615385,66.3076923076923,39.827502294072104
201810,2018-10-01,41.43879594104198,60.91798852514344,18.726431542039094,1935.243108446183,42.27940324074074,57.76923076923077,40.13306727640566
201811,2018-11-01,45.78676846903603,18.326020924738444,26.578397779071523,2020.4728507734576,34.58048925925927,51.15384615384615,35.29207282424727
201812,2018-12-01,55.94232215843788,1.0293621329733456,20.065487447781717,1892.603449492476,32.10134660714286,41.46153846153847,29.32496774960605
201901,2019-01-01,55.94560252768927,0.0,17.864911018869904,1903.4626800975443,35.064515517241375,39.84615384615385,28.46713496169029
201902,2019-02-01,44.93148691827022,4.404319946000687,19.66574140421676,1839.2240172433,33.27597240740741,41.92307692307693,28.522150441390075
201903,2019-03-01,47.07519043903907,14.056699291258862,22.258705826786038,1926.990423994112,34.36739214285714,41.15384615384615,30.875603615552464
201904,2019-04-01,49.74284704513053,21.211609854876823,30.72807751180723,2028.0027530956645,33.739914642857144,40.07692307692308,34.704352207292786
201905,2019-05-01,32.034043196340576,28.957138035774555,35.86001011278845,2200.156114529212,31.119004741379317,45.07692307692307,36.11198267392801
201906,2019-06-01,48.92586397600031,41.83260209247385,30.986456791275906,2157.8504351319907,29.96956120689655,54.76923076923078,40.37781000884801
201907,2019-07-01,50.826923533583425,56.73304083698953,35.86517519509228,2344.8779558739147,33.94349733333334,61.07692307692307,46.35856223383468
201908,2019-08-01,48.08018421643857,73.77657779277759,46.36427287437654,2417.6693057103776,34.46540133333333,60.15384615384616,51.667862495645345
201909,2019-09-01,50.348634315830274,76.61154235572056,21.564363628704676,2345.651167617593,40.24567068965517,63.46153846153846,45.31978457282338
