년월,Date,Scaled_Volatility_Diff,Scaled_Volume_Diff,Scaled_Momentum_2m,평당 거래가,검색량_평균,normalized_DT,fear_greed_index
201605,2016-05-01,46.191701291009416,77.25549658832449,50.56120320748817,3573.323073809527,20.487054285714287,66.46153846153847,52.81576361577936
201606,2016-06-01,37.671105843188265,88.28658074298713,61.39861970615797,3669.561859156089,23.845336964285718,66.61538461538463,57.464874418916224
201607,2016-07-01,45.403389893574634,80.97043214556483,28.077662677380548,3509.911465553352,21.374371312500003,68.30769230769232,45.90698846577371
201608,2016-08-01,49.48887748290048,73.67955521859996,42.13775215629818,3709.7682003108175,23.104018875,69.61538461538463,51.01371632748807
201609,2016-09-01,49.84272093885381,63.19939347990903,56.56223094503068,3667.923393482962,24.396310803571428,67.23076923076924,54.394184061334116
201610,2016-10-01,45.6022841314278,62.5439382452271,32.092141295222696,3675.243049947705,26.48479537815126,68.23076923076921,45.7809388648248
201611,2016-11-01,45.382558554569634,44.73085670962851,11.781725683853585,3386.6451893028525,23.201996651583716,56.76923076923077,33.06038808741877
201612,2016-12-01,45.77270173572974,22.877179681576955,19.699631914363273,3339.308481681745,21.996848397435897,48.3076923076923,30.852556683728942
201701,2017-01-01,55.08974530108499,0.0,44.909991003524155,3568.955131371091,23.59480657894737,52.15384615384615,39.18239753917272
201702,2017-02-01,44.968972611912,3.184230477634572,52.3646236402523,3609.802291954685,25.81475013368984,56.230769230769226,42.276673488027406
201703,2017-03-01,42.59867842186037,20.526914329037144,48.29600199823502,3708.4558401680574,23.67493076923077,57.53846153846154,42.730154793244445
201704,2017-04-01,36.23401211555276,48.71114480667173,52.088713123501165,3741.74074068326,21.80673236111111,60.92307692307693,47.35097329343937
201705,2017-05-01,39.11986787384162,83.98407884761183,71.98625347036956,3929.7394913298776,24.79266171052632,66.3076923076923,60.87900438831305
201706,2017-06-01,40.408996612815365,94.38968915845338,70.98441863809335,3959.177763855912,31.5220919138756,65.69230769230771,62.84577295489953
201707,2017-07-01,40.83700180314209,100.0,65.89543913332734,4143.919354311647,29.10006084090909,72.38461538461539,63.12919189434754
201708,2017-08-01,53.808098247895764,63.13495072024262,17.26505165505753,3759.781985432137,35.15907583333333,58.76923076923077,40.62681826759513
201709,2017-09-01,57.266022658789375,52.48294162244126,27.637340558692802,3993.16412551074,28.666826825396825,59.46153846153845,42.55709836989044
201710,2017-10-01,55.042828295697745,30.64821834723275,58.525399539683356,4017.3890502719096,27.565062777777776,61.30769230769231,50.65695316284523
201711,2017-11-01,41.90130296529252,40.54207733131161,58.690985529611616,4254.086072629193,29.103279375,61.6923076923077,50.63583630176651
201712,2017-12-01,47.388985456288694,42.17210007581503,42.420292566192664,4069.383164234856,28.33687660326087,57.53846153846154,44.67738496478491
201801,2018-01-01,50.866374983046136,56.19787717968159,48.5783425544464,4345.405558881877,35.48212919642857,66.76923076923077,52.40007848616918
201802,2018-02-01,50.506149606923344,45.185746777862015,47.121591565265405,4164.341963630035,36.00333674242424,66.38461538461539,50.45069845345854
201803,2018-03-01,49.355019224779525,34.761182714177416,15.404404798024874,4009.921603244717,36.22168649456522,58.6923076923077,36.01239681894003
201804,2018-04-01,42.129563638077485,4.605761940864292,34.64781272203516,4129.597335907399,32.36280760869565,52.53846153846153,35.95768667599975
201805,2018-05-01,46.4840769846678,8.017437452615624,51.04136767691458,4430.897471717507,30.144439642857144,53.692307692307686,42.62191086108602
201806,2018-06-01,36.43075505337487,4.264594389689159,51.47601712155379,4566.4432279518805,29.60659875,51.0,40.29451448542683
201807,2018-07-01,36.16019840952397,21.588324488248674,58.59388325346141,4927.227193886635,29.701154433333333,55.30769230769232,46.00852074285615
201808,2018-08-01,39.592968161450166,47.971948445792265,100.0,5319.3824009631735,36.39499023076923,67.3076923076923,68.23178618744376
201809,2018-09-01,56.34596377401964,58.017437452615624,39.625083873268174,4942.810369832953,47.30641759615385,66.3076923076923,51.83709022531943
201810,2018-10-01,55.03099075117442,49.241849886277485,9.96743109436548,4546.402881429315,42.27940324074074,57.76923076923077,37.306924141128206
201811,2018-11-01,58.55315715676118,15.125094768764216,38.29353425408167,5030.150344045811,34.58048925925927,51.15384615384615,40.58805340696969
201812,2018-12-01,60.94818966014663,6.974981046247156,35.2030066325611,4405.949066388302,32.10134660714286,41.46153846153847,35.99203526615165
201901,2019-01-01,60.6508707451611,13.172858225928733,26.380915027514963,4023.833168734568,35.064515517241375,39.84615384615385,33.682502170141134
201902,2019-02-01,61.87472876001051,15.940106141015924,37.702186390690365,4528.484527240579,33.27597240740741,41.92307692307693,38.39478469125027
201903,2019-03-01,59.16266316255573,21.341925701288858,50.56548442194725,5275.650170326248,34.36739214285714,41.15384615384615,43.20456351555222
201904,2019-04-01,51.76071283002651,28.108415466262322,46.211244219959504,5005.01577273104,33.739914642857144,40.07692307692308,41.23779447968127
201905,2019-05-01,50.02878196725573,43.21455648218348,46.07453251468877,5540.281861032999,31.119004741379317,45.07692307692307,43.718585166758636
201906,2019-06-01,39.44214697403537,61.239575435936324,71.63165392646938,5650.897564456172,29.96956120689655,54.76923076923078,55.84403604885292
201907,2019-07-01,35.515834700278674,85.80363912054587,34.97820064348126,5520.711181713577,33.94349733333334,61.07692307692307,47.76805982205227
201908,2019-08-01,22.074458696776084,90.97801364670205,23.438059591631873,5440.550005727356,34.46540133333333,60.15384615384616,42.543151638467464
201909,2019-09-01,30.567175002323488,88.07808946171343,48.55890880009216,5779.227817375267,40.24567068965517,63.46153846153846,53.72851135686976
