년월,Date,Scaled_Volatility_Diff,Scaled_Volume_Diff,Scaled_Momentum_2m,평당 거래가,검색량_평균,normalized_DT,fear_greed_index
201605,2016-05-01,39.78212143329605,65.67661346287301,21.6251859672466,1699.2451370898243,20.487054285714287,66.46153846153847,40.43959970879921
201606,2016-06-01,41.767836931042275,71.61693268563496,14.3551838801023,1715.625597917145,23.845336964285718,66.61538461538463,39.42805725860947
201607,2016-07-01,33.88995931886762,70.78417765440666,22.613586282732644,1750.2980268217648,21.374371312500003,68.30769230769232,41.28210109441379
201608,2016-08-01,36.358158153194644,73.00485773768216,16.456757538480527,1732.591142527585,23.104018875,69.61538461538463,40.29969110992394
201609,2016-09-01,40.093591025033845,72.81609993060376,18.655117896832035,1778.216927067498,24.396310803571428,67.23076923076924,41.11014156157394
201610,2016-10-01,39.92743257106488,73.96378777364204,25.59380371714473,1794.041560565693,26.48479537815126,68.23076923076921,44.224645458504014
201611,2016-11-01,44.10363483586391,64.44136016655101,10.56935859574698,1758.0322562266174,23.201996651583716,56.76923076923077,34.94000707385855
201612,2016-12-01,37.50813606506816,42.942401110340036,10.998890447447168,1765.770321915611,21.996848397435897,48.3076923076923,29.282379140070994
201701,2017-01-01,41.50700393606661,18.556557945870924,8.938332187153167,1686.511187297806,23.59480657894737,52.15384615384615,27.214044026049443
201702,2017-02-01,61.9264265754581,14.517696044413603,14.396415150278447,1776.1283645394426,25.81475013368984,56.230769230769226,32.5241654578272
201703,2017-03-01,62.091282354425445,21.17973629424011,24.56379419268612,1797.3916730737203,23.67493076923077,57.53846153846154,36.94206029852334
201704,2017-04-01,41.54111367668971,32.35253296321999,16.837238870569433,1807.6918540781944,21.80673236111111,60.92307692307693,33.63151851962391
201705,2017-05-01,30.57269636775265,47.23108952116585,10.998378201430501,1778.4885420736532,24.79266171052632,66.3076923076923,33.87072794011751
201706,2017-06-01,42.62985830800864,62.456627342123525,22.453735335058724,1854.8415435642248,31.5220919138756,65.69230769230771,42.14600878369534
201707,2017-07-01,42.6484128743928,81.970853573907,38.492485455868106,1896.3115844477372,29.10006084090909,72.38461538461539,51.51094118788152
201708,2017-08-01,43.2982953529405,74.65648854961832,14.636464786963717,1861.290140781529,35.15907583333333,58.76923076923077,39.83327973056484
201709,2017-09-01,36.26590611005237,63.06731436502429,14.342978617285956,1903.2183023276568,28.666826825396825,59.46153846153845,36.602103714628804
201710,2017-10-01,33.29773459803087,44.760582928521856,18.347517873361006,1907.5042443112056,27.565062777777776,61.30769230769231,35.64060344008519
201711,2017-11-01,24.636776920259333,45.35739070090215,15.936125552541766,1927.4025551767425,29.103279375,61.6923076923077,34.11548372536173
201712,2017-12-01,24.07605751514875,44.427480916030525,13.658567471826666,1908.8490596157292,28.33687660326087,57.53846153846154,31.978587794141255
201801,2018-01-01,32.040632321614574,55.281054823039554,15.008908862167628,1937.2950507185983,35.48212919642857,66.76923076923077,38.18295606661242
201802,2018-02-01,35.81320746987607,65.01040943789035,21.8617689794174,1953.6920601405732,36.00333674242424,66.38461538461539,42.25122561378437
201803,2018-03-01,28.485314786979625,78.2234559333796,18.966725583876755,1963.68576103319,36.22168649456522,58.6923076923077,40.083280191663476
201804,2018-04-01,26.46399806670724,62.91464260929908,15.901670551497501,1968.9815706536729,32.36280760869565,52.53846153846153,34.72695130344464
201805,2018-05-01,26.87788763179464,45.621096460791115,15.061470268003847,1980.8614135027185,30.144439642857144,53.692307692307686,32.27863047488006
201806,2018-06-01,32.69869192274198,26.981263011797367,14.25482096845268,1977.160664819064,29.60659875,51.0,29.640171518275856
201807,2018-07-01,46.549927779331604,32.824427480916036,20.77018351474802,2052.471090253456,29.701154433333333,55.30769230769232,35.47345487961584
201808,2018-08-01,47.24745256917689,51.61693268563498,31.86383798249083,2097.107891566749,36.39499023076923,67.3076923076923,45.79656306226174
201809,2018-09-01,36.09318600263743,53.89312977099237,28.490396267044837,2150.0492661710105,47.30641759615385,66.3076923076923,44.89281388151557
201810,2018-10-01,40.55507899894318,44.96877168632894,26.21432779186184,2268.4206488891978,42.27940324074074,57.76923076923077,40.64971424122946
201811,2018-11-01,65.28360756111633,13.102012491325473,14.218933491708844,2166.792845136942,34.58048925925927,51.15384615384615,32.75036415600375
201812,2018-12-01,65.04755442374368,0.0,12.007399311346388,2198.9681333886588,32.10134660714286,41.46153846153847,27.51412066839524
201901,2019-01-01,45.128198907854426,3.233865371269954,13.744470811202596,2178.619686282394,35.064515517241375,39.84615384615385,26.077038607936124
201902,2019-02-01,38.650331607281956,10.631505898681477,11.141487601139243,2093.762022937194,33.27597240740741,41.92307692307693,25.531915440524507
201903,2019-03-01,60.886880261489985,20.874392782789723,14.89806305116904,2237.4057485994667,34.36739214285714,41.15384615384615,30.878051558334235
201904,2019-04-01,63.3514648216052,25.2324774462179,15.553935548070536,2163.33519507251,33.739914642857144,40.07692307692308,31.597088190961916
201905,2019-05-01,60.500264204436704,31.42262317834837,17.19796624677591,2343.5778479926603,31.119004741379317,45.07692307692307,33.44673058965736
201906,2019-06-01,56.220774112484875,42.29007633587786,24.694154811925976,2376.3571615916626,29.96956120689655,54.76923076923078,39.14455236356161
201907,2019-07-01,33.21387077151902,59.25052047189451,25.118830869000224,2483.7852482697404,33.94349733333334,61.07692307692307,40.71039507880754
201908,2019-08-01,22.32990199694163,78.08466342817488,23.904416107883893,2481.5827244825896,34.46540133333333,60.15384615384616,41.12663805436047
201909,2019-09-01,23.443711383238224,81.48507980569049,14.70019683443221,2499.3579314831754,40.24567068965517,63.46153846153846,40.16340300950025
